,CDD_1.5_CNRM-CM5,CDD_1.5_CSIRO-Mk3-6-0,CDD_1.5_GFDL-ESM2M,CDD_1.5_IPSL-CM5A-MR,CDD_1.5_MIROC5,CDD_1.5_MPI-ESM-LR,CDD_1.5_NorESM1-M,CDD_2.0_CNRM-CM5,CDD_2.0_CSIRO-Mk3-6-0,CDD_2.0_GFDL-ESM2M,CDD_2.0_IPSL-CM5A-MR,CDD_2.0_MIROC5,CDD_2.0_MPI-ESM-LR,CDD_2.0_NorESM1-M,CDD_2.5_CNRM-CM5,CDD_2.5_CSIRO-Mk3-6-0,CDD_2.5_GFDL-ESM2M,CDD_2.5_IPSL-CM5A-MR,CDD_2.5_MIROC5,CDD_2.5_MPI-ESM-LR,CDD_2.5_NorESM1-M,CDD_3.0_CNRM-CM5,CDD_3.0_CSIRO-Mk3-6-0,CDD_3.0_GFDL-ESM2M,CDD_3.0_IPSL-CM5A-MR,CDD_3.0_MIROC5,CDD_3.0_MPI-ESM-LR,CDD_3.0_NorESM1-M
count,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0
mean,338.7015354356699,523.782423345909,464.45045282396006,345.73847567231974,521.537074245992,338.9157733222971,450.1844320012595,529.9332178338134,765.294031161942,748.3984294609144,518.9335072380682,756.2607771003723,550.4387082346323,661.5554335367558,701.6273217079527,1007.2424012324033,987.9839588418755,720.9287652450117,980.9166513425919,770.3710215880151,871.2548653506976,873.8975524524411,1230.0149673919157,1199.39137249953,925.3544150820128,1150.4941264405904,1002.9487443660993,1061.7016143639562
std,78.22277735145575,124.57161207895,147.3023803106315,87.97673865702492,103.95676530631623,109.5443713511604,106.1037513573721,117.48443462487988,192.25913464044646,199.83806144965635,121.94686457953252,146.25716314496833,136.99649001013952,140.94692615712813,147.1895717548036,254.27586742338278,232.3291023789831,160.41378407790535,186.27247310120146,182.7049340665954,173.2579483372145,165.77536630604564,297.3600613507041,287.4568720639844,202.07989929904446,227.98571998744734,240.65204488587682,207.03900614094792
min,0.10208545384318578,0.03207068947754881,0.24424910303348307,-0.0016653456894005075,0.20429571925466614,0.0,0.1520926296203849,0.36518181225591206,0.2244587569502073,0.8626004544549587,0.02349627531280779,0.25028413167536123,0.0,1.7480059889589559,0.8638978708497423,0.37041002692124797,4.243789249678715,0.21380396083989883,0.7869240685002865,0.051099912272161416,2.4031488036766935,1.9842135879274603,0.5363091037506479,11.43741073825207,0.42749725620943385,2.08594832869411,0.13643483699553371,5.684233052826608
25%,295.7559182334455,441.3717298103445,342.9905327078523,294.2386165979094,465.03987336762873,261.17251677851834,401.3547207900221,463.4934010777831,627.0736469374351,588.7438945590616,439.1455600205833,675.1258642075309,466.28795102069097,590.8074471737624,613.5482542493444,818.4760364796362,801.0653488999502,601.5929127127749,873.0138535091387,652.1776443372589,783.2909127119235,776.9768139323908,1014.4249464007,962.2853596592755,771.6730310906978,1012.8741551064034,836.9406117819246,953.4639186104928
50%,352.01244992139584,545.0065997158438,485.0579384883549,346.6153347855244,528.0264848685013,338.6746249303345,462.4120205056239,542.8385853852911,797.701266569858,787.001512232526,517.3709383942528,767.4027587546772,561.2215861459829,671.4374501515955,715.0478797925286,1035.3796739138897,1031.277371066221,725.6359892779502,993.4764180577286,782.8591036343424,878.9559609118835,889.3651658508034,1259.5597111264544,1246.7811426097146,935.6278914427149,1166.1671706073876,1001.3533391247861,1062.676445210588
75%,398.76430440172766,622.58733929667,585.712866615912,413.43470113301936,593.465962396051,423.3191102876132,524.7145377131774,626.7120807545857,930.0944318104067,896.8660380866127,614.4943952256747,854.7119544900855,656.5858674685675,763.8951157746777,822.0690647980734,1223.7103828146473,1166.9260060588813,848.3061478674584,1110.7364905025097,915.7870296263118,994.0371770134259,1004.5364837467212,1478.4866971218748,1415.081186185917,1091.670325400361,1312.5535203775648,1192.631991370129,1207.8315723771623
max,533.0389909452481,760.2713525637757,924.320260353993,568.137285180931,801.5472524859433,572.2625383624359,688.0107468013553,824.4927292985844,1186.0564675677806,1463.2975283100395,881.9011567624225,1103.3385595147247,833.3274697073855,1028.8999424561307,1097.6380729425932,1502.0758445495403,1853.9355322321421,1157.1639816497122,1432.6482283891387,1198.860652792545,1334.3685156311763,1381.36316019189,1817.5785979684065,2341.6107032968475,1378.9957624993058,1707.8104957411847,1630.8684313279623,1617.1359861059846
