"","Year","date","Month","Load","temp","RH","rsds","wspd","Wday"
"442","2018",2018-03-18,"March",8733267.99999991,31.0125,28.2495833333333,290.916666666667,3.74125,1
"443","2018",2018-03-19,"March",9906215.00000021,30.7833333333334,22.8404166666667,303.75,3.66216666666667,0
"444","2018",2018-03-20,"March",9577688.99999981,30.3083333333334,26.6779166666667,303.208333333333,3.43441666666667,0
"445","2018",2018-03-21,"March",9670529.00000026,30.1083333333334,29.22375,300.916666666667,3.4245,0
"446","2018",2018-03-22,"March",9858229.49999984,30.0041666666667,26.5058333333333,305.25,3.57475,0
"447","2018",2018-03-23,"March",9594859.49999997,30.2583333333334,19.30375,309.5,4.76404166666667,0
"448","2018",2018-03-24,"March",9669195.00000004,29.5958333333334,15.2795833333333,302.375,4.52404166666667,1
"449","2018",2018-03-25,"March",9089778.00000006,29.8375,17.2933333333333,309.208333333333,3.626375,1
"450","2018",2018-03-26,"March",9639287.99999981,29.8375,20.7704166666667,290.458333333333,2.950375,0
"451","2018",2018-03-27,"March",9997005.00000012,30.1166666666667,24.9066666666667,242.708333333333,2.80845833333333,0
"452","2018",2018-03-28,"March",9487549.40000002,31.4541666666667,26.35875,291.041666666667,3.41529166666667,0
"453","2018",2018-03-29,"March",9575947.00000002,30.0208333333334,35.07125,297.25,3.26529166666667,0
"454","2018",2018-03-30,"March",9372810.99999998,29.9666666666667,37.1820833333333,278.375,4.22083333333333,0
"455","2018",2018-03-31,"March",9165844.9999999,30.7166666666667,35.2066666666667,301.041666666667,4.07508333333333,1
"456","2018",2018-04-01,"April",8527210.00000008,30.7958333333334,34.5158333333333,306.041666666667,3.32454166666667,1
"457","2018",2018-04-02,"April",8178808.99999997,29.3208333333334,39.2716666666667,309.958333333333,3.87375,0
"458","2018",2018-04-03,"April",8600795.9999998,29.0958333333334,39.4625,307.833333333333,3.42791666666667,0
"459","2018",2018-04-04,"April",8652128.00000001,30.2916666666667,36.9583333333333,302.416666666667,3.42466666666667,0
"460","2018",2018-04-05,"April",9420084.00000028,32.175,31.2979166666667,304.375,3.97970833333333,0
"461","2018",2018-04-06,"April",9683385.99999992,32.8583333333333,32.01125,304.916666666667,4.436625,0
"462","2018",2018-04-07,"April",9432555.99999975,31.7583333333334,36.3216666666667,301.958333333333,4.26220833333333,1
"463","2018",2018-04-08,"April",8800843.00000021,30.5208333333334,39.6433333333333,271.5,4.03104166666667,1
"464","2018",2018-04-09,"April",9733882,30.6333333333334,37.0745833333333,287.208333333333,3.79195833333333,0
"465","2018",2018-04-10,"April",9613679.99999981,31.5791666666667,30.2916666666667,280.791666666667,4.15720833333333,0
"466","2018",2018-04-11,"April",9831553.0000003,32.1958333333333,25.0979166666667,298.75,4.175375,0
"467","2018",2018-04-12,"April",10025567,31.4583333333334,21.3545833333333,311.875,4.65145833333333,0
"468","2018",2018-04-13,"April",9672030.9999999,30.5166666666667,26.7470833333333,313.5,4.04841666666667,0
"469","2018",2018-04-14,"April",9481807.00000013,30.2916666666667,29.8520833333333,312.708333333333,3.3295,1
"470","2018",2018-04-15,"April",8921224.99999991,30.6291666666667,30.145,311.25,3.00791666666667,1
"471","2018",2018-04-16,"April",9717214.00000007,30.3416666666667,32.9754166666667,310.791666666667,3.08858333333333,0
"472","2018",2018-04-17,"April",9557402.99999989,30.8208333333334,33.7870833333333,312.958333333333,3.877875,0
"473","2018",2018-04-18,"April",9716830.00000019,30.1291666666667,36.6045833333333,312.666666666667,4.10533333333333,0
"474","2018",2018-04-19,"April",9496091.99999981,28.5625,43.1958333333333,312.083333333333,3.99995833333333,0
"475","2018",2018-04-20,"April",9263564.0000001,27.3125,46.9379166666667,311.958333333333,3.9135,0
"476","2018",2018-04-21,"April",8768209.99999994,28.3333333333334,43.9366666666667,310.5,3.5725,1
"477","2018",2018-04-22,"April",8646134.99999995,29.2833333333333,39.6504166666667,311.166666666667,3.79120833333333,1
"478","2018",2018-04-23,"April",9196385.00000003,30.3,36.0483333333333,304.583333333333,4.08204166666667,0
"479","2018",2018-04-24,"April",9429649.99999997,31.525,32.0533333333333,303.458333333333,4.44929166666667,0
"480","2018",2018-04-25,"April",9657077.00000008,32.4833333333334,27.6225,308.875,4.03,0
"481","2018",2018-04-26,"April",10103787.9999998,32.1458333333333,28.5883333333333,308.333333333333,3.51170833333333,0
"482","2018",2018-04-27,"April",10127693.0000002,31.9416666666667,34.03875,312.958333333333,3.35554166666667,0
"483","2018",2018-04-28,"April",9404770.00000012,30.8375,36.3079166666667,291.916666666667,3.49866666666667,1
"484","2018",2018-04-29,"April",9060147.99999984,31.5166666666667,31.1741666666667,316.333333333333,3.87375,1
"485","2018",2018-04-30,"April",8733207.00000003,31.9708333333334,25.3475,318.791666666667,3.63775,0
"486","2018",2018-05-01,"May",9382104,31.9333333333334,28.07625,317.208333333333,4.01041666666667,0
"487","2018",2018-05-02,"May",9905523.99999995,32.3,26.3708333333333,317.375,3.393625,0
"488","2018",2018-05-03,"May",10499281,32.3458333333334,26.06375,315.833333333333,3.675375,0
"489","2018",2018-05-04,"May",10363335,31.275,30.2433333333333,318.958333333333,3.34129166666667,0
"490","2018",2018-05-05,"May",9645172.99999987,30.575,34.7466666666667,317.333333333333,3.62254166666667,1
"491","2018",2018-05-06,"May",9373768,30.5166666666667,35.1220833333333,317,3.78654166666667,1
"492","2018",2018-05-07,"May",10247888,31.0208333333333,35.29125,310.916666666667,4.13416666666667,0
"493","2018",2018-05-08,"May",10305485.0000001,31.9375,31.5154166666667,312.291666666667,4.21391666666667,0
"494","2018",2018-05-09,"May",10674109.9999999,31.6291666666667,31.8820833333333,316.166666666667,3.80283333333333,0
"495","2018",2018-05-10,"May",9786390.00000012,31.0291666666667,34.3716666666667,319.541666666667,3.364,0
"496","2018",2018-05-11,"May",10171494.7,30.8416666666667,36.1479166666667,319.25,3.00845833333333,0
"497","2018",2018-05-12,"May",9349233.30000008,30.4708333333334,41.1695833333333,316.75,3.764,1
"498","2018",2018-05-13,"May",9034369.99999984,30.8208333333334,41.2908333333333,312.875,3.50679166666667,1
"499","2018",2018-05-14,"May",10112711.5000001,31.35,41.9616666666667,293.333333333333,3.58129166666667,0
"500","2018",2018-05-15,"May",10553699,30.9458333333334,43.96125,282.958333333333,4.098375,0
"501","2018",2018-05-16,"May",9989306.49999999,30.5,42.535,302.416666666667,3.89570833333333,0
"502","2018",2018-05-17,"May",10625725,30.8291666666667,43.5954166666667,309.833333333333,3.45645833333333,0
"503","2018",2018-05-18,"May",10748308,30.1333333333334,44.4420833333333,309.833333333333,3.920125,0
"504","2018",2018-05-19,"May",10477477.9999999,29.425,45.9204166666667,306.875,3.79220833333333,1
"505","2018",2018-05-20,"May",9660929.00000014,30.2375,43.3366666666667,311.375,3.59708333333333,1
"506","2018",2018-05-21,"May",10240937.0000002,30.8291666666667,40.9754166666667,313.291666666667,3.8115,0
"507","2018",2018-05-22,"May",10550331.9999997,31.9625,36.8870833333333,313.125,4.488625,0
"508","2018",2018-05-23,"May",10783884.0000001,32.7041666666667,34.7354166666667,316.125,4.3125,0
"509","2018",2018-05-24,"May",10868132,32.1833333333334,37.28375,312.833333333333,4.026125,0
"510","2018",2018-05-25,"May",10862436.0000001,31.2916666666667,41.9566666666667,306.875,4.045375,0
"511","2018",2018-05-26,"May",10413871,30.9666666666667,43.0529166666667,300.916666666667,4.29520833333333,1
"512","2018",2018-05-27,"May",9385526.99999999,30.9666666666667,42.7325,310.916666666667,3.69120833333333,1
"513","2018",2018-05-28,"May",10802426,32.5375,38.6008333333333,310.666666666667,3.84316666666667,0
"514","2018",2018-05-29,"May",11117509.9999999,31.2375,43.665,301.125,3.79470833333333,0
"515","2018",2018-05-30,"May",11100760.0000002,30.9916666666667,49.3879166666667,296.416666666667,3.86754166666667,0
"516","2018",2018-05-31,"May",11330934.9999998,30.8916666666667,50.195,301.208333333333,4.02325,0
"517","2018",2018-06-01,"June",10945534.5930001,31.7958333333334,46.8820833333333,307.333333333333,3.07604166666667,0
"518","2018",2018-06-02,"June",10664898.688,31.8916666666667,47.335,297,3.75241666666667,1
"519","2018",2018-06-03,"June",10508432.156,31.4,50.1733333333333,288.583333333333,3.92766666666667,1
"520","2018",2018-06-04,"June",11229928.9380001,30.5041666666667,53.08125,265.458333333333,3.06433333333333,0
"521","2018",2018-06-05,"June",11410690.344,31.2375,51.9391666666667,240.291666666667,3.1095,0
"522","2018",2018-06-06,"June",11627306.6239999,32.025,49.51375,263.625,3.31779166666667,0
"523","2018",2018-06-07,"June",12038765.5,31.2458333333334,51.5679166666667,273.958333333333,4.196875,0
"524","2018",2018-06-08,"June",12577651.75,32.2708333333334,46.72125,306.083333333333,3.55229166666667,0
"525","2018",2018-06-09,"June",11756075.8130001,33.0125,43.9566666666667,302.875,4.170625,1
"526","2018",2018-06-10,"June",11696682.7809999,32.025,48.02625,303.25,4.01895833333333,1
"527","2018",2018-06-11,"June",11855822.407,32.1708333333334,47.03375,304.791666666667,3.82420833333333,0
"528","2018",2018-06-12,"June",11973000.0620001,31.6291666666667,50.2666666666667,289.333333333333,3.54295833333333,0
"529","2018",2018-06-13,"June",12106108.2690001,31.3875,53.0141666666667,280.833333333333,2.9675,0
"530","2018",2018-06-14,"June",12214235.4359999,28.7083333333334,65.1175,204.041666666667,3.00266666666667,0
"531","2018",2018-06-15,"June",10648309.248,31.0458333333334,58.8329166666667,256.25,2.65983333333333,0
"532","2018",2018-06-16,"June",10248817.4400001,31.725,51.1170833333333,289.041666666667,4.01716666666667,1
"533","2018",2018-06-17,"June",10141364.9999999,31.2125,45.51875,294.458333333333,4.913625,1
"534","2018",2018-06-18,"June",10626688.3430001,28.9166666666667,53.5970833333333,265.833333333333,4.33225,0
"535","2018",2018-06-19,"June",11091397.407,29.5583333333334,54.0654166666667,287.416666666667,4.16654166666667,0
"536","2018",2018-06-20,"June",11158414.406,30.325,53.34625,301.291666666667,4.10629166666667,0
"537","2018",2018-06-21,"June",11029997.4111169,29.6375,57.47,294.541666666667,4.79866666666667,0
"538","2018",2018-06-22,"June",11261140.1559999,30.1666666666667,57.7466666666667,299.333333333333,4.17941666666667,0
"539","2018",2018-06-23,"June",10873647.4060001,30.7291666666667,58.47875,282.5,3.97804166666667,1
