,CDD_CNRM,CDD_CSIRO,CDD_GFDL,CDD_IPSL,CDD_MIROC5,CDD_MPI,CDD_NorESM1,MEAN,MIN,MAX
0,101.04642171480032,123.99743403876937,181.4274376610581,121.66404731019065,185.27495094847313,195.35234959877698,127.3192882311098,148.0117042147399,101.04642171480032,195.35234959877698
1,58.569278616104384,83.47322745765086,281.08981838929594,39.34998377065358,110.31564946384606,171.78011216233767,117.10583041567861,123.0977000393666,39.34998377065358,281.08981838929594
2,215.10742382199828,178.41757670232664,133.9512718797164,159.65819339553832,89.52461854847911,278.63294168584684,117.2084463720496,167.50006748656483,89.52461854847911,278.63294168584684
3,116.1103538528971,98.23847232107414,273.8567180835039,234.56383329546998,171.37632430224198,294.05553468475614,208.29079647881917,199.49886185982336,98.23847232107414,294.05553468475614
4,107.47973156901458,205.46643027893947,219.1155813438886,164.77823137089172,367.62921825645685,301.5608055791786,164.74392642755583,218.68198926084665,107.47973156901458,367.62921825645685
5,202.97517007809483,347.17661217485147,141.75570018387543,255.63758778494548,303.06175659731457,270.40601259552136,127.99219252016883,235.57214741925304,127.99219252016883,347.17661217485147
6,128.82903316270767,284.2476127561829,171.86802039712802,280.8984721222862,153.2905036355105,339.6035925771562,259.1174851516605,231.1221028289474,128.82903316270767,339.6035925771562
7,142.40051582091974,323.8605266319689,301.2507446215718,333.4599271984539,215.30373982502465,234.0067313378688,311.46076401036703,265.96327849231056,142.40051582091974,333.4599271984539
8,297.93022161376143,235.06328710248204,300.6602201732585,279.8106804633146,340.3408834440304,244.49232266279478,179.70580657543178,268.2862031478676,179.70580657543178,340.3408834440304
9,133.0697735880167,221.41978710226772,129.03350253806934,297.9945905337704,518.2459852730954,416.6262167869618,144.63891751692518,265.86125333415794,129.03350253806934,518.2459852730954
10,215.12477476472304,136.64161901249145,214.32358238256097,254.84637285262306,391.49397703572686,422.1902359622254,225.19212612908882,265.6875268770625,136.64161901249145,422.1902359622254
11,315.1867524942086,225.52635886392204,447.8524453212908,357.1892505549042,272.1516984625857,218.006861883458,263.6820046272546,299.94219602966064,218.006861883458,447.8524453212908
12,180.03902008507293,341.6778749879352,279.260627244209,206.33651386955376,224.76830646994267,232.6564377601353,323.00852871607617,255.39247273327487,180.03902008507293,341.6778749879352
13,258.58675781675197,292.4325897858232,349.72609822048,322.8566429159375,223.5414124835945,257.68438007605073,213.72128710221978,274.07845262869387,213.72128710221978,349.72609822048
14,229.71909257115658,395.7267375870142,414.5754328870876,308.9000124123363,456.205705453566,441.38601790195526,294.5732998883202,363.0123283859193,229.71909257115658,456.205705453566
15,209.82065109042742,271.53404231790523,304.5601743792986,253.0875034335561,632.9883096060989,336.5503775946381,269.076448559093,325.3739295687169,209.82065109042742,632.9883096060989
16,226.75505172841963,415.96926887981135,354.5966633551875,289.4675879842173,211.8871514380471,207.31258837564246,263.25203491153525,281.32004952469424,207.31258837564246,415.96926887981135
17,279.8436824558596,275.69072490110307,337.85739252677877,489.5921716045343,143.44410303384143,269.1768639382592,305.62710272082745,300.1760058830291,143.44410303384143,489.5921716045343
18,244.43604876026552,349.6662852935183,215.00869707079096,432.62423576040396,265.19890646581325,282.0273995209229,283.1976330118491,296.0227436976518,215.00869707079096,432.62423576040396
19,219.52005436699278,553.8041277984944,372.4231055148982,552.603524682396,269.95783747450196,381.79487703524705,276.10967202316374,375.17331412795625,219.52005436699278,553.8041277984944
20,269.23406974604904,320.8706897843101,390.5534554349281,471.1073864966729,426.04400095607207,419.25758706442434,276.52398515890445,367.6558820916232,269.23406974604904,471.1073864966729
21,307.6905351942728,222.1154209611948,233.56193309717423,376.79394636492043,633.5371625974808,386.9276044477408,331.61616534736663,356.0346811443071,222.1154209611948,633.5371625974808
22,185.7023037900983,417.31366544298567,412.73700539097104,424.3129445747825,383.76413228786214,409.2750849211893,360.3053235680377,370.4872085679897,185.7023037900983,424.3129445747825
23,297.5743896009003,324.452206081814,334.2310328675053,475.23397356967985,280.01799783828164,441.3912542948867,319.465387982262,353.19517746219003,280.01799783828164,475.23397356967985
24,248.34221504712286,343.9501556332848,401.62202338468546,672.6248786257013,332.4383222361737,330.5676749466045,360.2075063586972,384.2503966046097,248.34221504712286,672.6248786257013
25,366.5574738813923,421.25799444563245,460.8135905584793,467.5454622580696,349.6066616454739,344.2364566978081,268.656753859952,382.6677704781155,268.656753859952,467.5454622580696
26,354.7852811481307,417.20218256191424,393.194254616252,545.8183766301847,526.7994052901524,463.481691718134,341.8098097508987,434.7272859593811,341.8098097508987,545.8183766301847
27,316.53119034329234,452.034459158609,343.1207954389438,541.2889288799211,629.4541122831445,733.5773781355176,423.21818806928445,491.3178646155304,316.53119034329234,733.5773781355176
28,313.8906462153275,414.9051827528715,502.539489395009,728.183882285507,333.9958506351436,460.39365765916045,294.23689574804575,435.4493720987234,294.23689574804575,728.183882285507
29,391.87284647493357,483.6002187042443,341.3773801111681,471.06437735612667,307.2547134110398,446.23141111117593,342.82413919009696,397.7464409083982,307.2547134110398,483.6002187042443
30,265.13572802145745,664.3123930609306,237.50024001797556,540.383524348779,469.3883245332722,534.977704382916,434.56123278735004,449.4655924503829,237.50024001797556,664.3123930609306
31,269.0758090486265,561.8918508415386,419.5267964484133,602.952106296148,574.0101803788205,553.7781625977725,526.4682388087342,501.10044920286487,269.0758090486265,602.952106296148
32,324.696544657123,630.4365729516064,470.194655740039,472.06219133595005,788.0858055006777,510.6709463092586,519.7384538793153,530.840738624853,324.696544657123,788.0858055006777
33,349.8695563222518,579.0523062654063,370.2917744297579,570.7631518490682,582.777588046863,592.6242704506183,434.23755990225914,497.0880296094606,349.8695563222518,592.6242704506183
34,351.48882632822347,568.9127496212711,383.9991873876286,493.3460896120555,382.24988759717803,617.363021872402,517.5952578490514,473.565002895401,351.48882632822347,617.363021872402
35,461.9018634218912,600.6578399170819,409.940701098217,499.56213173456945,406.3396617533749,361.7482319242363,362.96936857038145,443.302828345679,361.7482319242363,600.6578399170819
36,330.1802834117136,671.7123352207034,630.3982929430422,544.3052700836013,620.9542008527617,370.1607726114364,530.4551121851132,528.3094667583389,330.1802834117136,671.7123352207034
37,385.0301882209808,661.9717636397177,326.58432285323056,625.5419910453143,792.1404074910156,591.8942920690047,496.08591349939707,554.1784112598086,326.58432285323056,792.1404074910156
38,447.821149454237,663.5895340971142,337.5302691930833,647.8162451741214,640.9638241878868,645.0248200230044,648.5304676423707,575.8966156816882,337.5302691930833,663.5895340971142
39,371.6367483229644,779.7672479134469,574.0945207591419,667.0653554424982,431.486469136551,579.0600865067684,598.0722752247236,571.5975290437277,371.6367483229644,779.7672479134469
40,367.2852219810936,663.5416644461318,580.0474849324698,574.0459686195909,353.9054900507558,547.3684766257402,304.34231216334206,484.3623741170179,304.34231216334206,663.5416644461318
41,500.7472090188462,575.7619431646829,525.3380769717496,708.4062006078846,513.9131304978528,574.5243687576187,430.7101838988133,547.0573018453495,430.7101838988133,708.4062006078846
42,362.31256138087747,694.9139725579284,372.84256200791356,541.4289729618813,765.2814929276674,550.6561629336229,488.23705555999254,539.3818257614118,362.31256138087747,765.2814929276674
43,432.4412633592699,823.765457293485,592.929866696576,666.8622842579123,815.5694836191126,579.0325743528799,586.6562795235905,642.4653155861181,432.4412633592699,823.765457293485
44,403.92165688810974,751.3526023649747,446.22898634447824,760.8060991244347,572.5278696807552,599.6646392412595,449.0230835241696,569.0749910240258,403.92165688810974,760.8060991244347
45,477.0075444378599,613.2398260477719,438.26710880360315,550.1050478318903,476.8076746748018,719.6762438431097,556.0327931182092,547.3051769653209,438.26710880360315,719.6762438431097
46,448.89976336474865,862.4974902104591,533.6253509954456,765.2434812789443,651.0168696851786,696.6333641593815,579.7345420645827,648.2358373941058,448.89976336474865,862.4974902104591
47,479.6704199106107,816.9847253708549,607.1949607579318,723.7418637272888,680.3007479397666,624.4475736915242,507.4845721359575,634.2606947905622,479.6704199106107,816.9847253708549
48,459.26584313538683,922.0315101875808,505.34784289963636,703.6469247305592,770.4368737573611,630.6524831090976,549.1081472581216,648.641375011106,459.26584313538683,922.0315101875808
49,514.7148447284271,937.3818702736348,502.26081591783554,548.4308767769076,782.6799641334396,669.1817884709401,550.944408319589,643.6563669458249,502.26081591783554,937.3818702736348
50,436.8402057466417,827.363625714388,397.251309941234,537.5040163122405,606.5114407951016,481.5457995746465,452.7501942972981,534.2523703402214,397.251309941234,827.363625714388
51,408.0078442739705,825.5896936959002,644.4846918055312,758.4729575110096,504.98607367437535,641.5816078705993,535.2178108501882,616.905811383082,408.0078442739705,825.5896936959002
52,531.232828791115,871.3046494060932,585.6740506396759,782.3332566730173,546.4004794509799,785.9385231576193,511.7804804392415,659.2377526511061,511.7804804392415,871.3046494060932
53,504.8549213618246,872.4422417668079,483.39156926841656,662.1776364605937,714.0283836143308,728.7258441860411,502.8631108689958,638.3548153610013,483.39156926841656,872.4422417668079
54,577.611992752072,1017.4003452740703,537.1531500840745,898.1486769586272,871.8348298835681,661.6381110224245,623.39869331726,741.0265427560137,537.1531500840745,1017.4003452740703
55,497.2562491852723,944.1456026563578,489.9881386360066,830.9310142252612,709.9238182489933,641.0803723458632,541.5338974536405,664.9798703930567,489.9881386360066,944.1456026563578
56,494.8788170117673,954.1143902475274,465.3980422483228,811.9115840931718,509.83777927129654,675.8539208980317,643.8196709386445,650.8306006726802,465.3980422483228,954.1143902475274
57,601.8633485972732,980.7666990636649,497.089243626762,642.783156046587,592.2532539228807,882.9262597280749,539.3749253901158,676.7224123393369,497.089243626762,980.7666990636649
58,553.41028420169,879.7693716092031,562.4981455049392,675.6409567516616,597.0723128519128,751.1978248636779,563.9473779200471,654.7908962433048,553.41028420169,879.7693716092031
59,580.2803072104841,827.4804191910368,592.045850212816,911.7720826203431,806.5214229882397,683.5238209273036,571.4279809124282,710.4359834375214,571.4279809124282,911.7720826203431
60,490.3903897632613,969.3583623875402,674.2142231471132,761.3241001425274,870.4073598000596,721.1127435889603,590.3011877370584,725.3011952237887,490.3903897632613,969.3583623875402
61,564.2681546532463,940.4784970881387,602.6283270839672,786.6239033298095,591.0150563651962,632.1047855235133,606.5077510947397,674.8037821626588,564.2681546532463,940.4784970881387
62,491.60345482132766,994.4449763446241,558.9852626561744,800.1171777337363,570.7878821729873,632.0409713985782,553.9842264349841,657.4234216517732,491.60345482132766,994.4449763446241
63,575.8247630360199,1072.8142333801547,537.9466696165375,778.1585046612652,760.7644774488197,853.4037233137019,673.0096669360573,750.2745769132223,537.9466696165375,1072.8142333801547
64,556.6251628508176,1095.49979874792,693.2652296827985,697.5339998134509,837.2135467784528,823.6819622147536,650.2026049086676,764.8603292852658,556.6251628508176,1095.49979874792
65,615.7659729787692,817.7364428389083,712.1637858644756,1051.7833737057044,956.6894967432104,494.34475506863214,727.5135147375065,767.9996202767436,494.34475506863214,1051.7833737057044
66,614.0167638826854,1061.836827628886,632.5072376808669,1056.8393971154806,672.1599707466958,643.6720681935456,661.4194132465598,763.2073826421031,614.0167638826854,1061.836827628886
67,652.7088065692299,1024.2359347159959,875.13081775706,886.3711371475679,659.1062239309281,741.7307747236039,781.2622951274955,802.9351414245546,652.7088065692299,1024.2359347159959
68,608.5341458708458,985.0512798499467,729.4316574564534,756.821413511223,708.9773297685676,945.7740932671645,680.4203972080957,773.5729024188993,608.5341458708458,985.0512798499467
