,CDD_1.5_CNRM-CM5,CDD_1.5_CSIRO-Mk3-6-0,CDD_1.5_GFDL-ESM2M,CDD_1.5_IPSL-CM5A-MR,CDD_1.5_MIROC5,CDD_1.5_MPI-ESM-LR,CDD_1.5_NorESM1-M,CDD_2.0_CNRM-CM5,CDD_2.0_CSIRO-Mk3-6-0,CDD_2.0_GFDL-ESM2M,CDD_2.0_IPSL-CM5A-MR,CDD_2.0_MIROC5,CDD_2.0_MPI-ESM-LR,CDD_2.0_NorESM1-M,CDD_2.5_CNRM-CM5,CDD_2.5_CSIRO-Mk3-6-0,CDD_2.5_GFDL-ESM2M,CDD_2.5_IPSL-CM5A-MR,CDD_2.5_MIROC5,CDD_2.5_MPI-ESM-LR,CDD_2.5_NorESM1-M,CDD_3.0_CNRM-CM5,CDD_3.0_CSIRO-Mk3-6-0,CDD_3.0_GFDL-ESM2M,CDD_3.0_IPSL-CM5A-MR,CDD_3.0_MIROC5,CDD_3.0_MPI-ESM-LR,CDD_3.0_NorESM1-M
count,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0
mean,1541.539246502506,1726.6201344127542,1667.2881638908098,1548.5761867391507,1724.374785312821,1541.7534843891397,1653.022143068112,1732.7709289006602,1968.1317422287725,1951.2361405277584,1721.771218304926,1959.0984881672186,1753.2764193014723,1864.3931446036008,1904.4650327747997,2210.0801122992434,2190.8216699087047,1923.7664763118553,2183.7543624094346,1973.208732654869,2074.092576417535,2076.7352635192833,2432.852678458747,2402.2290835663666,2128.1921261488665,2353.331837507435,2205.7864554329435,2264.5393254307905
std,636.2702566473329,656.4629466783184,650.5517030109145,644.2057126940081,630.8273642436347,647.2162741730806,656.105838981342,670.8456470395784,713.1990075614136,699.4188574158056,669.8031916137462,667.648551926097,673.6989607362283,682.2024264142044,691.7581336423667,762.242017774464,731.1024641812113,692.2831278991661,693.4952610287595,707.9522167065506,703.7724912259025,701.0592750372781,797.1206790614924,763.7301201648717,721.4026495035394,711.5682869753379,748.1853080201205,722.8318302431136
min,0.10208545384318578,0.03207068947754881,0.24424910303348307,0.04557719131272885,0.20429571925466614,0.0,0.1520926296203849,0.36518181225591206,0.2244587569502073,0.8626004544549587,0.07859169460048937,0.25028413167536123,0.0,1.7480059889589559,0.8638978708497423,0.37041002692124797,4.243789249678715,0.21380396083989883,0.7869240685002865,0.051099912272161416,2.4031488036766935,1.9842135879274603,0.5363091037506479,11.43741073825207,0.42749725620943385,2.08594832869411,0.13643483699553371,5.684233052826608
25%,1084.3631740715573,1237.0821244910667,1157.4349611619598,1096.0578932488459,1282.5033277075152,1068.0510566958333,1207.2058987283554,1250.0458858072807,1414.3017463477859,1390.5006140133005,1241.0025979973384,1488.889738534066,1264.0834803874864,1397.8742239610583,1403.6899084750899,1604.6977060669815,1598.5519659269626,1406.1839157487393,1695.2641890240216,1453.5493470549677,1597.0333164281565,1571.6288502424254,1792.2437139740796,1769.2796859611913,1569.7799204609469,1862.9266265418353,1650.400723126663,1762.0507904955316
50%,1618.6185719886585,1798.0154577343558,1735.422652886352,1613.0289115021676,1797.1131743064102,1612.8296142740624,1727.0285906908607,1810.6306759607915,2036.332300247436,2012.088803590479,1787.5396416388985,2031.0123906441586,1836.5114665980918,1940.642852217124,1985.2980054389657,2269.6442638402455,2243.8497386349563,1992.4309332264477,2253.885185815834,2059.626490283049,2153.419911133259,2159.5524514967237,2498.109400839002,2448.167727774594,2197.823786349759,2410.5955945138808,2286.9600393118226,2341.8683018065935
75%,2045.4380804365273,2255.6201680007293,2202.862434480824,2048.093389539551,2207.699914647381,2063.170633280193,2156.9413173052753,2262.8321182501013,2551.194455667878,2534.9801423386907,2236.005075202927,2469.6980605851736,2292.917588231575,2386.606909340183,2453.844055586377,2832.5031607191686,2801.8763734180575,2457.2870175668972,2711.5891680383975,2539.102468918544,2607.286619812925,2634.219506941361,3083.6959659382837,3029.3028065010167,2692.049930751837,2895.4229450534976,2807.910400212241,2814.2623988436235
max,2982.954885155792,3229.8341841106917,3140.015143768249,3011.065720514299,3159.029884238314,2951.33247891622,3086.7731025207836,3202.2662557937524,3575.224018029155,3527.700374265211,3211.4522739552954,3433.374859100492,3208.271275811626,3323.6695980596146,3385.3170946579266,3916.093882122888,3769.0099783243486,3446.267254750266,3705.338275952448,3511.0981938080727,3540.5105324837323,3555.616117717487,4210.309328550955,4100.421406390992,3695.2160302146463,3911.5035761655863,3796.7285435021936,3783.397323172903
