,CDD_CNRM,CDD_CSIRO,CDD_GFDL,CDD_IPSL,CDD_MIROC5,CDD_MPI,CDD_NorESM1,MEAN,MIN,MAX
0,1353.704251497592,1319.22227981634,1337.8840273781943,1367.7091404699408,1293.5466233601105,1364.1149402447395,1300.4297766739194,1333.8015770629768,1293.5466233601105,1367.7091404699408
1,1294.3481791504546,1326.1584035657893,1671.5762278126288,1438.7858337677992,1282.5477750489492,1336.8208377200397,1353.2188196561533,1386.2080109602591,1282.5477750489492,1671.5762278126288
2,1402.7602821455816,1454.9187494358391,1257.846293952627,1522.1478273189193,1347.4724998583515,1399.5879546840229,1408.534982441466,1399.0383699766867,1257.846293952627,1522.1478273189193
3,1274.3374940124393,1376.8850925462498,1390.0045421704506,1570.3759158817643,1450.0711332641597,1439.5967320234918,1472.0153931177897,1424.755186145192,1274.3374940124393,1570.3759158817643
4,1367.3540495622408,1368.3969282494143,1399.5895212089565,1318.1310530574874,1528.1999551206852,1382.4270588508318,1575.8125226034053,1419.987298379003,1318.1310530574874,1575.8125226034053
5,1380.6250264792122,1410.6148020957876,1512.693867756022,1371.0659749837755,1409.7699139336623,1404.7016789372774,1288.1182174394908,1396.7984973750324,1288.1182174394908,1512.693867756022
6,1361.19395405711,1485.3862728190488,1324.8789825477697,1426.47988728056,1396.779300555068,1431.1665006962692,1191.8903290189023,1373.9678895678185,1191.8903290189023,1485.3862728190488
7,1355.6566998099197,1413.2661275792336,1425.673474671898,1610.1364008460046,1518.9309275780395,1508.848657065255,1406.5054970707363,1462.7168263744409,1355.6566998099197,1610.1364008460046
8,1408.6061951389502,1424.3421493329126,1356.7061890797622,1521.5002851030922,1726.2196360330695,1606.3991303643954,1428.119804768159,1495.9847699743345,1356.7061890797622,1726.2196360330695
9,1412.51580135512,1379.502708864941,1659.2432509926361,1471.4448442743146,1340.0772376934347,1623.9440669534492,1541.9964477495496,1489.8177654119208,1340.0772376934347,1659.2432509926361
10,1316.958751830395,1304.8446676511437,1474.2245892944734,1549.8472948078681,1261.2474825240695,1678.512707445804,1516.9388072506842,1443.2249001149196,1261.2474825240695,1678.512707445804
11,1434.0654317558908,1394.8244452712233,1658.7190415934058,1562.329634223607,1345.9816122378168,1590.6181686575403,1329.681367373721,1473.745671587601,1329.681367373721,1658.7190415934058
12,1413.8497496228151,1587.8372097251756,1576.949850313742,1666.057988842026,1617.4437384497244,1583.8496303013192,1530.4552259380084,1568.0633418846871,1413.8497496228151,1666.057988842026
13,1457.532278893705,1439.649815552939,1457.1797107536515,1653.3206140025736,1687.6276286307955,1428.8607524072265,1428.9812763268142,1507.5931537953863,1428.8607524072265,1687.6276286307955
14,1356.6144399963914,1517.8515520826718,1569.2021757412292,1454.4625868276678,1466.6926982454615,1582.946430167687,1420.0656166184751,1481.1193570970831,1356.6144399963914,1582.946430167687
15,1458.0624641057072,1554.187321904732,1631.8720574996257,1478.7962130029648,1457.7280887548595,1699.0690590399922,1498.3933141441694,1539.7297883502931,1457.7280887548595,1699.0690590399922
16,1479.6894609161695,1492.9802333316673,1744.1342413294126,1772.133356462205,1494.973457531394,1619.0077262819816,1608.9297499539666,1601.692603686685,1479.6894609161695,1772.133356462205
17,1366.1467449212998,1501.0429094469198,1410.7552972382512,1520.485059693469,1553.163053677382,1568.2651776339173,1486.7711900189108,1486.661347518593,1366.1467449212998,1568.2651776339173
18,1436.8403688325377,1620.616294153511,1352.4135512997254,1568.9184314504462,1669.7283909761557,1611.6849599616476,1472.037793058381,1533.1771128189152,1352.4135512997254,1669.7283909761557
