,CDDP_Obs,CDDP_1.5,CDDP_2.0,CDDP_2.5,CDDP_3.0,spatial_ref
count,16833.0,16833.0,16833.0,16833.0,16833.0,21901.0
mean,-inf,-inf,-inf,-inf,-inf,0.0
std,,,,,,0.0
min,-inf,-inf,-inf,-inf,-inf,0.0
25%,2.3755784034729004,2.6242321169270713,2.7203489060834194,2.778959056303367,2.8127526045615183,0.0
50%,3.0419254302978516,3.36053384142082,3.489981531816933,3.587072061855742,3.642659657672877,0.0
75%,4.142279148101807,4.458215299586155,4.592950815477739,4.677538917541922,4.730829492957459,0.0
max,7.1458611488342285,7.475588035518949,7.618183007279907,7.7161897146825,7.786073377608265,0.0
