,CDDP_Obs,CDDP_1.5,CDDP_2.0,CDDP_2.5,CDDP_3.0
count,16833.0,16833.0,16833.0,16833.0,16833.0
mean,16468.615234375,37477.14862992785,54409.99803339736,70813.99707600594,85588.18125911691
std,120362.7890625,280629.0601622783,412256.2664172637,544505.3472616819,668707.9385566876
min,0.0,0.0,0.0,0.0,0.0
25%,167.74093627929688,345.278451764157,439.8316329780426,518.7350733884431,569.0635653646201
50%,796.2319946289062,1605.5711565195754,2388.5789767135516,3015.535006375484,3546.037211645549
75%,9537.9931640625,20679.65718560754,28659.43751118893,36688.429332512074,42847.61174535118
max,10084565.0,23335793.034609627,33343754.068336174,42902394.871985435,51454386.83597729
