,Obs,MME_1.5,MME_2.0,MME_2.5,MME_3.0,spatial_ref
count,17205.0,16884.0,16884.0,16884.0,16884.0,21901.0
mean,1193.4337158203125,1629.0248777593242,1845.7157880872026,2065.7412803966317,2266.238110009208,0.0
std,577.0861206054688,643.5293975685753,678.2865009466481,707.371721307541,731.0745778988457,0.0
min,0.0,0.16914842196808014,0.6959344612636793,1.660409853197493,4.296251032219279,0.0
25%,770.4133911132812,1163.6549869756354,1344.8589967609482,1533.0948080760415,1707.6950121431405,0.0
50%,1246.6761474609375,1698.1942457735895,1915.725758351266,2138.573285432817,2335.1921464511856,0.0
75%,1657.0614013671875,2136.4517262199843,2379.2741863043493,2622.802894881783,2843.3029811292995,0.0
max,2565.156982421875,3080.143628460621,3349.478469429846,3610.51931601424,3858.684568746904,0.0
