,CDD_CNRM,CDD_CSIRO,CDD_GFDL,CDD_IPSL,CDD_MIROC5,CDD_MPI,CDD_NorESM1,MEAN,MIN,MAX
0,1294.4823348007378,1317.4333471247069,1374.8633507469956,1315.0999603961282,1378.7108640344106,1388.7882626847145,1320.7552013170473,1341.4476173006774,1294.4823348007378,1388.7882626847145
1,1252.0051917020419,1276.9091405435884,1474.5257314752334,1232.785896856591,1303.7515625497836,1365.2160252482752,1310.541743501616,1316.533613125304,1232.785896856591,1474.5257314752334
2,1408.5433369079358,1371.8534897882641,1327.387184965654,1353.0941064814758,1282.9605316344166,1472.0688547717843,1310.644359457987,1360.9359805725023,1282.9605316344166,1472.0688547717843
3,1309.5462669388346,1291.6743854070116,1467.2926311694414,1427.9997463814075,1364.8122373881795,1487.4914477706936,1401.7267095647567,1392.9347749457609,1291.6743854070116,1487.4914477706936
4,1300.915644654952,1398.902343364877,1412.551494429826,1358.2141444568292,1561.0651313423944,1494.996718665116,1358.1798395134933,1412.1179023467841,1300.915644654952,1561.0651313423944
5,1396.4110831640323,1540.612525260789,1335.191613269813,1449.073500870883,1496.497669683252,1463.8419256814589,1321.4281056061063,1429.0080605051905,1321.4281056061063,1540.612525260789
6,1322.2649462486452,1477.6835258421204,1365.3039334830655,1474.3343852082237,1346.726416721448,1533.0395056630937,1452.553398237598,1424.558015914885,1322.2649462486452,1533.0395056630937
7,1335.8364289068572,1517.2964397179064,1494.6866577075093,1526.8958402843914,1408.7396529109621,1427.4426444238063,1504.8966770963045,1459.399191578248,1335.8364289068572,1526.8958402843914
8,1491.366134699699,1428.4992001884195,1494.096133259196,1473.246593549252,1533.776796529968,1437.9282357487323,1373.1417196613693,1461.722116233805,1373.1417196613693,1533.776796529968
9,1326.5056866739542,1414.8557001882052,1322.4694156240068,1491.430503619708,1711.6818983590329,1610.0621298728993,1338.0748306028627,1459.2971664200954,1322.4694156240068,1711.6818983590329
10,1408.5606878506605,1330.077532098429,1407.7594954684985,1448.2822859385606,1584.9298901216644,1615.626149048163,1418.6280392150263,1459.123439963,1330.077532098429,1615.626149048163
11,1508.622665580146,1418.9622719498595,1641.2883584072283,1550.6251636408417,1465.5876115485232,1411.4427749693955,1457.1179177131921,1493.3781091155981,1411.4427749693955,1641.2883584072283
12,1373.4749331710104,1535.1137880738727,1472.6965403301465,1399.7724269554913,1418.2042195558802,1426.0923508460728,1516.4444418020137,1448.8283858192124,1373.4749331710104,1535.1137880738727
13,1452.0226709026895,1485.8685028717607,1543.1620113064175,1516.292556001875,1416.977325569532,1451.1202931619882,1407.1572001881573,1467.5143657146314,1407.1572001881573,1543.1620113064175
14,1423.155005657094,1589.1626506729517,1608.011345973025,1502.3359254982738,1649.6416185395035,1634.8219309878928,1488.0092129742577,1556.4482414718568,1423.155005657094,1649.6416185395035
15,1403.256564176365,1464.9699554038427,1497.996087465236,1446.5234165194936,1826.4242226920364,1529.9862906805756,1462.5123616450305,1518.8098426546544,1403.256564176365,1826.4242226920364
16,1420.1909648143571,1609.4051819657489,1548.032576441125,1482.9035010701548,1405.3230645239846,1400.74850146158,1456.6879479974727,1474.7559626106317,1400.74850146158,1609.4051819657489
17,1473.279595541797,1469.1266379870406,1531.2933056127163,1683.0280846904718,1336.880016119779,1462.6127770241967,1499.063015806765,1493.6119189689666,1336.880016119779,1683.0280846904718
18,1437.871961846203,1543.1021983794558,1408.4446101567285,1626.0601488463415,1458.6348195517508,1475.4633126068604,1476.6335460977866,1489.4586567835893,1408.4446101567285,1626.0601488463415
19,1412.9559674529303,1747.240040884432,1565.8590186008357,1746.0394377683335,1463.3937505604395,1575.2307901211846,1469.5455851091012,1568.6092272138937,1412.9559674529303,1747.240040884432
20,1462.6699828319865,1514.3066028702476,1583.9893685208656,1664.5432995826104,1619.4799140420096,1612.6935001503618,1469.959898244842,1561.0917951775607,1462.6699828319865,1664.5432995826104
21,1501.1264482802103,1415.5513340471323,1426.9978461831117,1570.229859450858,1826.9730756834183,1580.3635175336783,1525.0520784333041,1549.4705942302446,1415.5513340471323,1826.9730756834183
22,1379.1382168760358,1610.7495785289232,1606.1729184769085,1617.74885766072,1577.2000453737996,1602.7109980071268,1553.7412366539752,1563.9231216539272,1379.1382168760358,1617.74885766072
23,1491.0103026868378,1517.8881191677515,1527.6669459534428,1668.6698866556173,1473.4539109242191,1634.8271673808242,1512.9013010681995,1546.6310905481275,1473.4539109242191,1668.6698866556173
24,1441.7781281330604,1537.3860687192223,1595.057936470623,1866.0607917116388,1525.8742353221112,1524.003588032542,1553.6434194446347,1577.6863096905472,1441.7781281330604,1866.0607917116388
25,1559.9933869673298,1614.69390753157,1654.2495036444168,1660.9813753440071,1543.0425747314114,1537.6723697837456,1462.0926669458895,1576.103683564053,1462.0926669458895,1660.9813753440071
26,1548.2211942340682,1610.6380956478517,1586.6301677021895,1739.2542897161222,1720.23531837609,1656.9176048040715,1535.2457228368362,1628.1631990453186,1535.2457228368362,1739.2542897161222
27,1509.9671034292298,1645.4703722445465,1536.5567085248813,1734.7248419658586,1822.890025369082,1927.0132912214551,1616.654101155222,1684.753777701468,1509.9671034292298,1927.0132912214551
28,1507.326559301265,1608.341095838809,1695.9754024809465,1921.6197953714445,1527.431763721081,1653.829570745098,1487.6728088339833,1628.885285184661,1487.6728088339833,1921.6197953714445
29,1585.308759560871,1677.0361317901818,1534.8132931971056,1664.5002904420642,1500.6906264969773,1639.6673241971134,1536.2600522760345,1591.1823539943357,1500.6906264969773,1677.0361317901818
