,CDD_1.5_CNRM-CM5,CDD_1.5_CSIRO-Mk3-6-0,CDD_1.5_GFDL-ESM2M,CDD_1.5_IPSL-CM5A-MR,CDD_1.5_MIROC5,CDD_1.5_MPI-ESM-LR,CDD_1.5_NorESM1-M,CDD_2.0_CNRM-CM5,CDD_2.0_CSIRO-Mk3-6-0,CDD_2.0_GFDL-ESM2M,CDD_2.0_IPSL-CM5A-MR,CDD_2.0_MIROC5,CDD_2.0_MPI-ESM-LR,CDD_2.0_NorESM1-M,CDD_2.5_CNRM-CM5,CDD_2.5_CSIRO-Mk3-6-0,CDD_2.5_GFDL-ESM2M,CDD_2.5_IPSL-CM5A-MR,CDD_2.5_MIROC5,CDD_2.5_MPI-ESM-LR,CDD_2.5_NorESM1-M,CDD_3.0_CNRM-CM5,CDD_3.0_CSIRO-Mk3-6-0,CDD_3.0_GFDL-ESM2M,CDD_3.0_IPSL-CM5A-MR,CDD_3.0_MIROC5,CDD_3.0_MPI-ESM-LR,CDD_3.0_NorESM1-M
count,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0
mean,1246.8549712833988,1417.926315125075,1360.5918872942837,1254.6833283933663,1414.2534054810817,1250.4142723744146,1353.0773995088248,1423.708417988507,1644.8173934151948,1628.994377724801,1413.9827009181226,1633.8783357753964,1446.6027395910983,1548.0787111412283,1584.244334503043,1873.6777617245816,1858.2270250775553,1602.8050537172535,1847.8937362994366,1652.8122707140083,1744.8805200860238,1746.6139356968604,2087.674090986836,2062.5528097644233,1795.5656520158586,2009.464203649243,1873.1675740628384,1927.4644658785062
std,605.8912448453885,632.3504040416095,625.1727782860787,614.628211263969,614.0538164352465,614.5846697681893,632.171129672211,646.873672808598,691.1733441925561,679.6451987213962,646.1042918915666,656.7781489726088,650.1654404045529,665.0722309444117,672.110620923343,740.0747195464037,714.8074504614856,671.668067033897,685.3926611426231,688.2310484633327,691.0627156906675,686.5530803855735,775.4114009397429,746.2268801945823,703.0006623341359,703.8199911741668,728.9682881191657,713.3854073021662
min,0.015847986024984568,0.0,0.0,0.0,0.04862778498534984,0.0,0.005113683974203317,0.012993223388673415,0.029652917645387335,0.01805193029600511,0.0,0.05044156106567167,0.0,0.15981400445557484,0.0,0.03645393088395395,0.19752620282185188,0.03302203252563724,0.10930508611663754,0.0,0.15470032048137153,0.002986251791420121,0.03466560080582894,0.6537064798583743,0.03302203252563724,0.18762227650371416,0.0,0.27651489877524305
25%,805.8339718142034,954.1217269295367,882.7412841046491,806.5819562042428,992.0629745588233,800.3904815818747,919.6262139824318,958.5837812851431,1120.0177173360942,1103.968092858149,952.3939746577639,1189.2452346925556,983.233501097478,1104.9714145240728,1106.9202838165097,1304.4080575348667,1305.6279581950557,1116.8639072151532,1390.7305166498907,1164.4727506930672,1298.180985273534,1264.1561747799024,1483.3355210471789,1467.270084738795,1276.912881884217,1552.0061080664311,1357.5297193869453,1461.2821542741215
50%,1324.4195535880176,1493.5968122742174,1434.993476756076,1315.7370826940053,1497.4655687853729,1323.3445672274706,1423.9210686565054,1509.3038909252768,1714.362693623901,1697.0454301409682,1486.1183369499092,1714.025685410218,1534.4526472561638,1627.3500729223451,1671.5468217212538,1940.3607018155549,1920.6212168297768,1682.4010194957382,1921.7038870679253,1748.4013198366922,1829.7144638318528,1839.0047593135037,2158.2964722506968,2119.146014143693,1877.536293218638,2066.2462023645658,1964.5804979481145,2011.0871737852412
75%,1728.11640833093,1928.90461431482,1878.075665793927,1735.4961179424276,1882.3009823353138,1746.8632052891235,1843.968471117658,1934.7708587860932,2210.796937864634,2192.9179565958975,1912.213994808932,2127.8703002610073,1965.930265679576,2060.265954712559,2112.939409352628,2473.513238857515,2451.140021443063,2117.9442520309995,2358.930837820132,2197.7732919926966,2266.559818347874,2285.315946651617,2711.7131151820413,2673.7517355336413,2340.8329510442345,2531.8761241579987,2453.51416094667,2455.553244411339
max,2583.7889848027976,2823.3457252585486,2736.235072558522,2610.0993682722647,2752.663025453309,2557.5072742002253,2685.3194974284056,2799.580276737957,3163.080544699473,3115.5761540836493,2803.1771480377256,3022.596604410945,2803.62603084905,2916.3168819076673,2978.010637686685,3500.6728546896106,3354.3586124206104,3034.6423454322235,3291.1488367922807,3102.1433867615538,3128.1970989571096,3145.6041439239393,3793.601307801028,3684.485104391062,3280.978940084022,3495.33851940288,3385.6174388767367,3376.5242713072525
