,Obs,MME_1.5,MME_2.0,MME_2.5,MME_3.0
count,1919.0,1919.0,1919.0,1919.0,1919.0
mean,1592.4962158203125,2114.33411766259,2370.0923984061515,2627.696681630687,2867.3479346086206
std,356.11669921875,384.1748301737547,397.4581274086165,410.18392936477767,422.8857440809073
min,100.10160827636719,256.56051138044165,363.3257313246585,492.69635912940873,638.8685674194809
25%,1408.792724609375,1932.3746711167028,2179.411134052999,2431.787375023474,2666.105340726949
50%,1630.9693603515625,2153.612172324904,2404.2697386673053,2658.8205707817015,2898.082198720921
75%,1821.318359375,2370.391689982611,2637.7624492319933,2908.3896739774195,3160.4732501178287
max,2458.767822265625,2983.764744248539,3251.0391876711055,3515.481689361623,3766.8850373145483
