,CDDP_Obs,CDDP_1.5,CDDP_2.0,CDDP_2.5,CDDP_3.0,spatial_ref
count,16833.0,16833.0,16833.0,16833.0,16833.0,21901.0
mean,24607.642578125,51271.826586318,71883.59876326036,90817.68169561353,107262.19500007985,0.0
std,182003.1875,384976.206006564,546249.4802807954,700150.5540439538,839775.4143688155,0.0
min,0.0,0.0,0.0,0.0,0.0,0.0
25%,237.45335388183594,420.95155381721565,525.2292525963102,601.1170636918265,649.7594500469684,0.0
50%,1101.35009765625,2293.68535375713,3090.164021844817,3864.3109168727324,4391.9729603794585,0.0
75%,13876.466796875,28722.04111742498,39169.75142460052,47592.54372094587,53805.849552464766,0.0
max,13991404.0,29894275.702353645,41512893.68965083,52022319.81896989,61104525.728316404,0.0
