,Obs,MME_1.5,MME_2.0,MME_2.5,MME_3.0
count,2988.0,2988.0,2988.0,2988.0,2988.0
mean,758.0695190429688,1174.1264695042903,1373.2402955365226,1586.880671312373,1788.5656547366361
std,419.4916687011719,514.2318227899477,548.2400726399006,579.3081872610417,608.4259005513833
min,0.0,0.16914842196808014,0.6959344612636793,1.959813956917264,4.658251337759876
25%,429.2203369140625,821.0484586487212,994.0743196220269,1184.3850749375642,1359.0957367356943
50%,760.2574462890625,1197.9263656934677,1400.0677642775854,1616.5413399108472,1814.9377085906156
75%,1064.9947509765625,1568.4759702092304,1800.5899257622573,2047.3308976985804,2285.97227376526
max,1779.04638671875,2356.859891767373,2627.9015887062387,2922.649380865454,3222.0167901380037
