,CDD_OBS,CDD_MME,CDD_CNRM,CDD_CSIRO,CDD_GFDL,CDD_IPSL,CDD_MIROC5,CDD_MPI,CDD_NorESM1
count,17205.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0,16884.0
mean,1193.4337158203125,1280.5291748046875,1279.385986328125,1250.805419921875,1282.073974609375,1303.1207275390625,1250.320556640625,1312.7679443359375,1285.2259521484375
std,577.0861206054688,528.1768798828125,525.5731201171875,529.3353271484375,530.0156860351562,518.8754272460938,529.0615234375,533.4888916015625,531.9136962890625
min,0.0,0.009626551531255245,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,770.4133911132812,896.607666015625,898.304443359375,868.2838134765625,895.7044677734375,922.7831420898438,869.7491455078125,923.021484375,897.3258056640625
50%,1246.6761474609375,1283.04443359375,1282.1220703125,1254.61328125,1285.7818603515625,1307.1376953125,1254.60009765625,1311.6063232421875,1289.428466796875
75%,1657.0614013671875,1741.3544921875,1740.0289306640625,1714.41259765625,1736.7147216796875,1758.1212158203125,1712.76904296875,1781.3739013671875,1745.98876953125
max,2565.156982421875,2300.126220703125,2296.571044921875,2273.693359375,2299.0771484375,2302.813232421875,2270.025146484375,2344.8056640625,2313.897705078125
