,Country,CDDP_Obs,CDDP_1.5,CDDP_2.0,CDDP_2.5,CDDP_3.0,Obs,MME_1.5,MME_2.0,MME_2.5,MME_3.0,Obs_bias,MME_1.5_bias,MME_2.0_bias,MME_2.5_bias,MME_3.0_bias
0,Chad,10304.512,20286.722797805112,27636.23494154698,33803.91777696297,38658.62972420897,1378.6329,1809.1542106947422,2019.3426863873458,2233.8249601819857,2418.1594592727056,0.0,430.5212484915471,640.7097241841509,855.1919979787909,1039.5264970695105
0,Sierra Leone,61931.098,156903.62579655004,223896.7988599304,284579.1452773781,334067.17942039034,594.7493,1096.8187749809854,1317.8001306924646,1545.152396594849,1753.598281144572,0.0,502.06947554385044,723.0508312553293,950.4030971577141,1158.848981707437
0,Guinea,20065.342,41904.815873626605,52305.51859440129,60225.99513494568,65809.85974484446,674.1608,1156.653297753349,1390.022075532108,1646.8997737549596,1898.1841492121273,0.0,482.4925334737763,715.8613112525351,972.7390094753869,1224.0233849325543
0,Central African Rep.,2940.8203,6931.0413699657165,9559.624789388587,11965.921519801626,13862.67392736118,577.51807,1021.1265581856204,1235.8411460939499,1467.464239343242,1680.3358732641282,0.0,442.3110238064423,657.0256117147716,888.6487049640638,1101.5203388849498
0,Nigeria,145859.39,316821.837647571,461933.3204577131,604198.5945290682,735073.0115158386,1065.3687,1514.463923613532,1726.473580248626,1942.6762401938634,2142.148457685092,0.0,449.09526644565824,661.1049230807527,877.3075830259901,1076.7798005172185
0,Benin,44322.45,91226.62622024486,126012.0395354101,155443.0522641477,178469.0997515626,1142.069,1585.254233776079,1801.6905564545643,2018.836156560785,2216.0440850972504,0.0,443.1852540764517,659.621576754937,876.7671768611576,1073.9751053976229
0,Gabon,175.2554,773.6918312087448,1291.966640880959,1890.606017892629,2435.7828297785136,129.56921,339.929660798095,492.97887786149715,672.2197046226862,844.1471795748663,0.0,232.64380301109165,385.6930200744938,564.9338468356829,736.8613217878628
0,Ghana,78018.83,147270.1052124737,189958.23347268574,225764.9067461829,252384.07829348036,1049.4789,1497.6279998393663,1697.1578013359447,1908.473501840951,2100.166754593753,0.0,448.14916774311774,647.6789692396965,858.9946697447026,1050.6879224975048
0,Côte d'Ivoire,31129.602,59647.34877893533,73406.48349217552,84178.04746981934,91530.82901687827,717.6059,1161.0475074463568,1361.442046373607,1574.2463789131534,1770.5893554567142,0.0,443.4415700803718,643.8361090076219,856.6404415471684,1052.9834180907294
0,Algeria,611.3701,915.3699274663351,1058.7084548914765,1151.5547808874474,1196.5853853352967,1461.6398,1889.8363814344102,2119.0026547581933,2336.509550126894,2532.502034157668,0.0,421.9539980478143,651.1202713715977,868.6271667402982,1064.619650771072
0,Mauritania,4669.296,7937.985395287169,10081.47976392141,11659.921916687386,12840.287096368776,1654.1722,2138.6880943760852,2391.3762340597887,2634.2310131574113,2867.3870602064712,0.0,484.51589466778773,737.2040343514911,980.0588134491134,1213.2148604981737
0,Senegal,88175.734,166311.5242913063,215311.3318029313,250814.84290555728,276941.8691194923,1619.804,2109.784101653664,2369.7062383429234,2630.848004048846,2880.3652033833264,0.0,489.980086331579,749.9022230208387,1011.0439887267615,1260.5611880612414
0,Guinea-Bissau,37197.582,62469.4901199883,78604.46405162777,91485.14071511045,101265.6965044736,1169.3829,1595.4770961996815,1839.70378886204,2101.6848088191964,2360.319740503274,0.0,426.0941589166955,670.3208515790541,932.30187153621,1190.9368032202872
0,Cameroon,17107.758,35379.02983172496,48760.66118249465,61976.187459362416,73576.42598631555,354.51016,624.9479725497116,785.8160916086351,973.1590379747053,1157.3775864991878,0.0,270.43779550654307,431.30591456546654,618.6488609315367,802.8674094560193
0,Eq. Guinea,8217.765,21990.126346691723,33440.36246905438,45795.90796090494,57088.66038923552,89.28425,247.070009752617,358.129992545898,502.68733701285515,649.369725678044,0.0,157.78576363201512,268.8457464252961,413.40309089225326,560.0854795574421
0,Gambia,119411.695,211259.47721070162,264878.849245106,300287.168909592,323361.09867312823,1261.9656,1677.0662101177227,1902.463081678938,2123.5609386736974,2330.3914964325522,0.0,415.10058511772263,640.4974566789375,861.5953136736973,1068.4258714325522
0,Togo,129215.16,238678.59968628685,308613.76292197156,365575.40422529913,406301.3868497639,921.41644,1326.6723707413043,1516.9402452348156,1713.799304259376,1891.8619993437148,0.0,405.2559762914345,595.5238507849461,792.3829098095061,970.4456048938451
0,Burkina Faso,72939.336,144251.82543946718,195269.6895917899,237147.64611820798,271859.69904048677,1558.0792,2118.136310147273,2375.7898162783868,2635.5038798906494,2882.5679795526994,0.0,560.0571172828684,817.7106234139817,1077.4246870262443,1324.4887866882948
0,Congo,277.9815,977.3795153780386,1544.2522334889586,2124.0604496550536,2635.730960969793,239.78816,599.4390400090751,799.933593446446,1014.7499330445584,1218.9139594449655,0.0,363.26461915684024,563.7591725942112,778.5755121923235,982.7395385927308
0,Libya,368.45554,618.4411457661005,760.3074739997456,874.1669780246699,949.3525110435743,879.1015,1226.8899672928044,1398.282577754414,1575.714301929142,1737.3182173609407,0.0,340.1500891024839,511.54269956409354,688.9744237388219,850.5783391706203
0,Liberia,12062.053,42725.18623041061,68819.69851273805,94038.05694162409,115228.32122398168,357.66956,731.7540406785108,896.2181868349724,1065.1237951494224,1214.658514051543,0.0,374.0844740081086,538.5486201645701,707.4542284790202,856.988947381141
0,Morocco,1037.8014,1884.6571515481057,2191.7924125660516,2375.249240521667,2504.260679298411,487.71066,761.6083159263799,924.2940544375786,1078.1862413246404,1238.0539735707096,0.0,286.0132519580643,448.69899046926326,602.5911773563249,762.4589096023943
0,Mali,25501.81,51557.04348258525,70611.3352862884,87134.27688468267,101057.00766697903,1840.7372,2358.9160967778635,2627.583157683849,2901.148889454318,3149.6636034492303,0.0,518.1788838234619,786.8459447294471,1060.4116764999171,1308.9263904948286
0,Niger,19879.396,42801.3377433029,63180.74060087386,81599.15989631825,97244.90577515686,1628.2345,2059.472929419389,2278.685502822286,2498.72687174447,2679.15167989085,0.0,431.2383688558747,650.4509422587715,870.4923111809555,1050.917119327336
0,W. Sahara,505.63965,748.1798792793251,819.3131393719509,843.7785194433741,843.3520184783089,950.4369,1341.9857361721786,1547.6527789755037,1741.6881062843108,1933.352487960327,0.0,391.5488235154094,597.2158663187347,791.2511936275421,982.9155753035578
