,CDD_CNRM,CDD_CSIRO,CDD_GFDL,CDD_IPSL,CDD_MIROC5,CDD_MPI,CDD_NorESM1,MEAN,MIN,MAX
count,95.0,95.0,95.0,95.0,94.0,95.0,95.0,95.0,95.0,95.0
mean,1643.4019936411394,1926.5659776231541,1687.7966818779585,1858.7861347193484,1780.3537119449106,1776.0505500831987,1678.3353802880697,1764.821647384041,1601.9170157670344,1985.0391419401794
std,190.0261525619994,336.5153054733342,176.03137757038135,272.6311259123704,237.36890473007642,208.44893871788082,180.6108581037031,213.07926730376056,178.03341620827032,284.279561310418
min,1252.0051917020419,1276.9091405435884,1322.4694156240068,1232.785896856591,1282.9605316344166,1365.2160252482752,1310.541743501616,1316.533613125304,1232.785896856591,1388.7882626847145
25%,1491.1882186932685,1610.0216388068002,1555.8801319784102,1667.0839955387523,1579.1325065607657,1611.3778150116304,1514.6728714351066,1572.3564553889732,1451.935397539475,1743.2471653002772
50%,1655.3377765078287,2017.2013703794225,1696.1730698923068,1869.0768698375991,1818.6400696538906,1824.088396195035,1723.8910252710507,1827.6966078764997,1631.7030218895407,2019.0256067818377
75%,1812.897440990293,2241.372177513351,1823.6937151749512,2088.181601254074,1962.837285039498,1923.026077645175,1817.66175954346,1962.3618982077628,1751.9562173772279,2252.845981947429
max,1973.1699946171518,2485.2698911663224,2068.5667308429975,2351.0478259419906,2250.4192231800344,2233.1255769592412,2007.725585651846,2072.403791865596,1939.024190459287,2485.2698911663224
