,CDD_CNRM,CDD_CSIRO,CDD_GFDL,CDD_IPSL,CDD_MIROC5,CDD_MPI,CDD_NorESM1,MEAN,MIN,MAX
count,95.0,95.0,95.0,95.0,94.0,95.0,95.0,95.0,95.0,95.0
mean,1894.7394410145607,2226.110899029324,1980.4672461557404,2271.0562054459388,2040.4151631254808,2135.168062725424,1958.6605877890522,2073.714418768713,1863.7031174277904,2333.669438985896
std,397.8705420696656,642.5408808643458,421.46623584754997,623.018668522543,447.761501552183,532.5242440454139,408.034418711183,489.1041276421358,406.3684977958784,609.4719355347662
min,1274.3374940124393,1304.8446676511437,1257.846293952627,1318.1310530574874,1261.2474825240695,1336.8208377200397,1191.8903290189023,1333.8015770629768,1191.8903290189023,1367.7091404699408
25%,1540.5136896686477,1621.0338176583177,1618.6030573794988,1712.5101458912377,1673.2943867638041,1648.286937870217,1589.2421563859057,1613.53664151963,1501.5871675607914,1759.0897906415312
50%,1840.2810224671782,2181.62668323065,1918.95722421273,2206.6293690031143,2052.76362661714,2078.340139739474,1914.211256378135,2042.6897489427504,1834.0707890976857,2248.403586323397
75%,2246.03572644831,2728.7349190834693,2332.514549832452,2845.134872467599,2376.9803513192774,2549.034761379355,2306.366050040251,2506.087655675498,2171.5279746342903,2855.6811215877824
max,2614.5721186197056,3579.008194328117,2885.2744980733337,3398.5931325629676,3048.115611133725,3132.0385752034863,2680.9037273011977,2931.8311421947506,2558.772296466462,3579.008194328117
