,Obs,MME_1.5,MME_2.0,MME_2.5,MME_3.0
count,1893.0,1893.0,1893.0,1893.0,1893.0
mean,1904.93212890625,2393.074425375417,2651.401524782441,2908.6231896145214,3135.8374446688454
std,275.11907958984375,298.27888492890554,311.1235258129291,327.08647986458317,345.053965276932
min,408.8724670410156,710.2908908273055,904.2240650257369,1096.8925968545384,1289.2823086604162
25%,1711.4178466796875,2176.281495209997,2417.0301645753843,2665.0369375637956,2880.6407219160496
50%,1944.91796875,2440.366225081785,2706.5040226183555,2972.4216986347647,3212.325754783766
75%,2103.717529296875,2609.923648544124,2875.2218350278813,3147.5654670291015,3382.710186436574
max,2565.156982421875,3080.143628460621,3349.478469429846,3610.51931601424,3858.684568746904
